category,seniority,min_salary,max_salary,id,modality,remote,remote_modality,remote_zone,published_at,application_deadline,experience,skills,benefits,applications_count,company_name,company_country,company_id,company_description
Programming,seniority,2400,4000,programador-biometria-aplicada-santiago,modality,False,no_remote,,1716506997,,,"p, Debes, tener, experiencia, comprobable, en, desarrollo, con, C, conocimientos, de, bases, de, datos, relacionales, SQL, Server, desarrollo, de, frontend, con, enfoque, al, UX, en, Angular, React, o, similar, Ser, proactivo, en, la, de, soluciones, con, capacidad, y, voluntad, para, aprender, nuevas, y, trabajar, por, la, mejora, continua, de, los, proyectos, p","<p>Somos una empresa con muy buen ambiente de trabajo, horizontal en el trato a la gente, con excelentes expectativas de crecimiento, valoramos y recompensamos el esfuerzo de los miembros del equipo, fuera de lo estándar contamos con seguro de salud complementario que cubre en proporción a tu cobertura lo que no cubre tu isapre.</p>",9,Biometria Aplicada,CL,,Somos una empresa sólida con más de 12 años de experiencia en el mercado de Soluciones Integrales de Control Biométrico. Enfocados en el desarrollo personalizado de soluciones para grandes empresas de diversas industrias.
Programming,seniority,,,tech-lead-arkho-santiago-70da,modality,True,fully_remote,Santiago Metropolitan,1716436734,,,"div, son, los, requerimientos, del, cargo, div, ul, li, Experiencia, de, 4, liderando, equipos, desde, la, perspectiva, li, li, Dominio, avanzado, de, por, lo, menos, un, lenguaje, de, de, preferencia, Python, li, li, AWS, Expertise, 4, a, trabajando, con, AWS, en, arquitecturas, Serverless, orientadas, a, Data, Analytics, li, li, Experiencia, de, 3, trabajando, proyectos, de, procesamiento, de, datos, li, li, intermedio, li, ul",<ul><li>Día administrativo semestral hasta los 12 meses </li><li>Week off: 5 días de vacaciones extra</li><li>¡Celebra tu cumpleaños!</li><li>Path de entrenamiento</li><li>Certificaciones AWS</li><li>Aguinaldos Fiestas Patrias y Navidad</li><li>Seguro complementario (solo para Chile)</li><li>Flexibilidad (trabajo híbrido o remoto)</li><li>Regalo por casamiento + 5 días hábiles libres</li><li>Regalo por nacimiento de hijos</li><li>Kit escolar</li><li>Beneficio paternidad</li><li>Cuponstar</li></ul>,190,ARKHO,CL,,"Somos una consultora experta en tecnologías de la información, que ofrece servicios de consultoría en el marco de la buena arquitectura, modernización de aplicaciones y analítica de datos. "
Programming,seniority,,,desarrollador-a-backend-springboot-empresas-sb-santiago-c586,modality,False,hybrid,,1716413884,,,"ul, li, Experiencia, en, desarrollo, de, soluciones, li, li, Experiencia, de, al, menos, 3, trabajando, con, Spring, Boot, li, li, de, Analista, en, en, o, li, ul",,42,Empresas SB,CL,,"Tendrás grandes desafíos y nuestro respaldo.
Somos un grupo de empresas de retail, especialistas en salud y belleza, dedicados a hacer sentir bien a las personas, estén donde estén
#CreemosEnTiEmpresasSB 💜💪🏼"
Programming,seniority,,,desarrollador-a-ruby-on-rails-empresas-sb-santiago,modality,False,hybrid,,1716229366,,,"ul, li, Experiencia, de, al, menos, 3, en, y, desarrollo, de, software, li, li, o, carrera, li, li, Experiencia, en, li, li, Conocimiento, nivel, avanzado, Ruby, on, Rails, Framework, para, hacer, aplicaciones, web, li, ul",,18,Empresas SB,CL,,"Tendrás grandes desafíos y nuestro respaldo.
Somos un grupo de empresas de retail, especialistas en salud y belleza, dedicados a hacer sentir bien a las personas, estén donde estén
#CreemosEnTiEmpresasSB 💜💪🏼"
Programming,seniority,,,arquitecto-java-bilingue-kibernum-bogota,modality,True,remote_local,,1715899810,,,"p, em, Requisitos, em, p, ol, li, Profesional, en, de, sistemas, de, telecomunicaciones, en, de, software, o, carreras, afines, li, li, cinco, strong, 5, strong, de, experiencia, en, cargos, de, arquitecto, o, con, li, ol, ul, li, experiencia, en, arquitectura, e, de, sistemas, globales, altamente, distribuidos, li, li, Manejo, de, la, nube, GCP, li, li, de, arquitectura, estructurada, implementaciones, de, nube, e, implementaciones, y, hojas, de, ruta, de, local, a, la, nube, Azure, Google, li, li, Dominar, las, plataformas, Google, Workspace, GCP, y, su, dependencia, APIs, li, ul, p, 3.Nivel, de, ingles, Conversacional, strong, B2, strong, p",<ul><li>Tipo de Trabajo: Remoto </li><li>Tipo de Contrato: Indefinido</li><li>Horario: Lunes a viernes 7am a 5pm.</li><li>Rango Salarial: <strong>A convenir (80% prestacional - 20% no prestacional).</strong></li><li>Excelentes beneficios</li></ul>,11,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Programming,seniority,,,solutions-engineer-openloop-remote,modality,False,hybrid,,1715884417,,,"ul, li, 3, years, experience, building, production-ready, Fullstack, applications, li, li, 3, years, experience, with, Node.js, and, React, li, li, 2, years, experience, with, AWS, serverless, technologies, Lambda, DynamoDB, SQS, S3, li, li, 2, years, experience, with, TypeScript, li, li, 3, years, experience, using, git, for, source, control, li, li, 3, years, experience, working, in, an, Agile, environment, li, li, Strong, problem-solving, skills, and, the, ability, to, diagnose, and, resolve, complex, technical, issues, li, li, Excellent, communication, skills, both, technical, and, non-technical, for, effective, interaction, with, healthcare, professionals, and, internal, teams, li, li, Ability, to, create, big-picture, software, solutions, li, li, Ability, to, present, ideas, in, a, clean, user-friendly, way, li, li, strong, Fluency, in, English, C1, and, excellent, written, and, verbal, communication, skills, strong, li, ul","<div>In addition to competitive salaries, this role includes:</div><ul><li>Contract under a Peruvian company ID (""Planilla""). You will receive all the legal benefits in Peruvian soles (CTS, ""Gratificaciones"", etc).</li><li>Monday - Friday workdays, full time (9 am - 6 pm).</li><li>Unlimited vacation days.</li><li>EPS healthcare covered 100% with RIMAC —Because you, too, deserve access to great healthcare.</li><li>AFP retirement plan —to help you save for the future.</li><li>We will assign you a computer and other accessories so you can have the best tools to do your job.</li><li>You will have all the benefits of the Coworking space located in Lima - Miraflores (Free beverage, internal talks, bicycle parking, best view of the city).</li></ul>",73,OpenLoop,US,,"Servicing all 42,000 zip codes nationwide, OpenLoop accelerates the delivery of patient care by matching our trusted community of certified clinicians and insurance partners with innovators in the digital health space. "
Programming,seniority,3200,4350,software-engineer-back-end-tenet-bank-ltd-remote,modality,True,fully_remote,,1715674377,,,"ul, li, We, are, looking, to, grow, our, team, and, are, looking, to, add, engineers, ranging, from, 3, to, 6, years, of, software, engineering, experience, li, li, Fluent, in, one, or, more, programming, languages, to, NET, amp, NodeJS, are, essentially, li, li, Good, spoken, and, written, English, 6, and, above, in, IELTS, li, li, Experience, authoring, and, operating, high-scale, services, li, li, Experience, with, scalable, distributed, systems, both, built, from, scratch, as, well, as, on, Microsoft, Azure, li, li, A, focus, on, software, engineering, best, practices, such, as, testing, static, analysis, continuous, integration, delivery, and, deployment, li, li, Self-sufficient, in, contributing, to, the, team, s, engineering, efforts, li, li, A, proven, tech, lead, with, experience, planning, and, leading, large, projects, with, long-term, impact, on, a, single, system, or, team, li, li, Strong, technical, grasp, and, have, excellent, judgement, on, task, prioritisations, li, li, Able, to, solve, complex, engineering, problems, that, deliver, results, which, help, the, team, to, achieve, its, objectives, li, li, History, of, creating, and, applying, new, processes, and, tooling, to, increase, engineering, efficiency, li, li, Willingness, to, learn, and, use, new, technologies, li, li, Ability, to, debugging, complex, systems, li, li, Solid, understanding, of, relational, databases, and, transactions, li, li, Familiar, with, writing, highly, concurrent, systems, li, li, Good, intuition, for, REST, API, design, li, li, Valid, passport, may, be, required, to, travel, for, work, li, ul",<p>20 paid vacation days a year</p>,197,Tenet Bank Ltd.,KY,,Tenet Bank Ltd. is a regulated Institutional bank operated by financial experts and engineered by technology leaders.
Programming,seniority,2500,4000,ruby-on-rails-developer-mawi-remote,modality,True,remote_local,,1715319404,,,"div, For, the, position, we, are, hiring, for, we, are, looking, for, someone, who, knows, Ruby, on, Rails, well, and, has, a, strong, set, of, skills, and, experiences, that, match, our, platform, s, needs, at, Mawi, The, ideal, candidate, should, work, well, in, a, team, helping, and, learning, from, others, We, look, for, strong, Team, Players, br, strong, br, div, div, We, expect, the, candidate, to, be, good, at, solving, problems, adaptations, to, changes, quickly, and, to, have, experience, in, creating, efficient, and, scalable, software, with, Ruby, on, Rails, It, s, important, to, have, experience, with, integrating, APIs, and, automating, software, deployment, div, div, Good, writing, skills, are, also, essential, for, documenting, work, and, communicating, clearly, with, our, team, Being, able, to, give, and, receive, feedback, well, is, important, for, improving, and, adapting, to, new, challenges, div, div, Paying, attention, to, details, is, crucial, as, it, affects, the, quality, of, the, software, we, build, also, because, we, believe, in, autonomy, We, appreciate, candidates, who, can, spot, ways, to, improve, and, are, proactive, in, suggesting, and, implementing, new, solutions, div, div, Overall, we, are, looking, for, someone, who, is, enthusiastic, about, using, technology, to, make, a, difference, in, the, construction, industry, someone, who, is, ready, to, face, the, challenges, of, rapid, technological, change, and, happy, to, work, on, a, Startup, div","<div>At Mawi the professional challenge we have and the impact we can do is what makes an attractive place to work. We also help with professional curses or education that can help the individual to grow. Finally, we provide a set of flexible vacation days and flexible schedule, 100% remote.</div>",71,Mawi,CR,,"awi is a startup that is looking to help thousands of construction companies in LATAM become financially and operationally more effective and profitable, through technology that is not only efficient but also easy to adopt and apply."
Programming,seniority,2500,3000,desarrollador-backend-global-mobility-apex-s-a-remote,modality,True,fully_remote,,1716495990,,,"ul, li, desarrollar, e, implementar, soluciones, backend, robustas, y, escalables, utilizando, NestJs, como, el, marco, principal, li, li, Colaborar, estrechamente, con, el, equipo, de, desarrollo, para, e, implementar, APIs, GraphQL, con, NestJs, eficientes, y, flexibles, li, li, Integrar, y, gestionar, bases, de, datos, NoSQL, como, MongoDB, para, garantizar, un, rendimiento, y, una, alta, disponibilidad, li, li, Implementar, sistemas, de, utilizando, Kafka, para, manejar, flujos, de, datos, en, tiempo, real, y, procesamiento, de, eventos, li, li, Utilizar, Redis, para, la, de, y, almacenamiento, de, sesiones, optimizando, el, rendimiento, de, las, aplicaciones, li, li, e, implementar, arquitecturas, de, microservicios, para, garantizar, la, escalabilidad, y, la, modularidad, de, nuestras, aplicaciones, li, ul",<ul><li>Oportunidad de trabajar de forma remota. </li><li>Ambiente de trabajo colaborativo y dinámico. </li><li>Desarrollo profesional continuo y oportunidades de crecimiento. </li><li>Flexibilidad de horarios y equilibrio entre vida laboral y personal. </li></ul>,42,"Global Mobility Apex, S.A.",GT,,"Somos una corporación multinacional de bebidas y alimentos fundada en 1885 con operaciones en más 14 países, con más de 15,000 colaboradores."
Programming,seniority,,,java-developer-con-sre-leniolabs_-remote,modality,True,remote_local,,1716495899,,,"ul, li, strong, 4, de, experiencia, en, con, Java, u, otro, lenguaje, de, orientado, a, objetos, Indispensable, strong, li, li, y, despliegue, de, pipelines, con, Maven, Gradle, li, li, strong, Experiencia, en, con, Python, u, otro, lenguaje, Indispensable, strong, li, li, Experiencia, con, infraestructura, como, li, li, Experiencia, conocimiento, sobre, funcionan, los, servicios, Serverless, li, li, Experiencia, con, servicios, gestionados, y, no, gestionados, en, AWS, li, li, Experiencia, conocimiento, de, VPCs, li, li, Buenas, habilidades, de, li, li, strong, Conocimiento, en, y, principios, de, SRE, strong, li, li, strong, Experiencia, con, plataformas, de, nube, en, especifico, con, AWS, Indispensable, strong, li, li, Experiencia, en, el, desarrollo, de, Microservicios, li, li, strong, Contar, con, un, nivel, de, oral, y, escrito, B2, C1, intermedio, avanzado, Indispensable, strong, li, li, Trabajar, de, forma, independiente, priorizando, tareas, para, cumplir, con, las, fechas, prestando, fuerte, al, detalle, li, li, Pensamiento, y, capacidad, de, resolver, problemas, li, li, Manejo, de, li, li, Capacidad, de, trabajar, en, equipo, li, ul",<ul><li>Metlife (Chile) - Para toda la familia</li><li>Salario dolarizado (Argentina)</li><li>100% Remoto. Aunque contamos con lugares de trabajo en Argentina y Chile</li><li>Posibilidad de recibir 2 bonos al año</li><li>2 revisiones salariales al año</li><li>Clases de inglés</li><li>Equipamiento Apple</li><li>Cursos UDEMY</li><li>Budget para compra de libros</li><li>Budget para compra de materiales de trabajo</li></ul>,41,Leniolabs_,CL,,"Somos una empresa de desarrollo de software con sede en Argentina, Chile, España y USA."
